Class,Taxon,DBHMin,DBHMax,Model,B0,B1,B2
Genus,Picea,1,27.1,e(B0 + (ln(DBH) * B1)),1.9897,0.7152,
Genus,Pinus,1,28,B0 + (DBH * B1) + (DBH2 * B2),2.4132,5.9575,-0.1103
Genus,Populus,1,24,B0 + (DBH * B1) + (DBH2 * B2),4.8743,5.8071,-0.119
Genus,Prunus,1,24,B0 + (DBH * B1) + (DBH2 * B2),6.9939,4.8184,-0.1006
Genus,Pyrus,1,19.4,B0 + (DBH * B1),10.7232,1.5314,
Genus,Quercus,1,33,B0 + (DBH * B1) + (DBH2 * B2),11.675,4.4321,-0.0678
Genus,Rhus,1,9.8,e(B0 + (ln(DBH) * B1)),2.3635,0.4713,
Genus,Robinia,1,35,e(B0 + (ln(DBH) * B1)),2.477,0.624,
Genus,Salix,1,41.3,e(B0 + (ln(DBH) * B1)),2.4928,0.5078,
Genus,Sassafras,1,19,B0 + (DBH * B1) + (DBH2 * B2),5.9816,6.2457,-0.1651
Genus,Syringa,1,10.1,e(B0 + (ln(DBH) * B1)),2.5968,0.1533,
Genus,Thuja,1,35.6,B0 + (DBH * B1),5.5987,2.2494,
Genus,Tsuga,1.1,25,B0 + (DBH * B1) + (DBH2 * B2),1.1086,5.1392,-0.1033
Genus,Ulmus,1,38,e(B0 + (ln(DBH) * B1)),2.4772,0.5612,
Genus,Viburnum,1,9.5,e(B0 + (ln(DBH) * B1)),2.4026,0.1505,
Species,Acer negundo,1,38.4,e(B0 + (ln(DBH) * B1)),2.479,0.5371,
Species,Acer palmatum,1,23.2,e(B0 + (ln(DBH) * B1)),2.0076,0.4723,
Species,Acer platanoides,1,37.6,e(B0 + (ln(DBH) * B1)),2.6043,0.4534,
Species,Acer pseudoplatanus,1,53.2,e(B0 + (ln(DBH) * B1)),2.5842,0.54,
Species,Acer rubrum,1,45,e(B0 + (ln(DBH) * B1)),2.6393,0.5613,
Species,Acer saccharinum,1,70.9,e(B0 + (ln(DBH) * B1)),2.69,0.4652,
Species,Acer saccharum,1,40,B0 + (ln(DBH) * B1),11.3449,19.5311,
Species,Betula papyrifera,1,21.3,e(B0 + (ln(DBH) * B1)),2.8698,0.4381,
Species,Betula pendula,1,30,B0 + (ln(DBH) * B1),17.7323,10.4284,
Species,Betula populifolia,1,12.2,e(B0 + (ln(DBH) * B1)),2.575,0.5303,
Species,Carpinus caroliniana,1,10.4,e(B0 + (ln(DBH) * B1)),2.783,0.3189,
Species,Carya alba,1,22,B0 + (DBH * B1) + (DBH2 * B2),9.3934,6.5955,-0.1521
Species,Carya cordiformis,1,33,B0 + (DBH * B1) + (DBH2 * B2),6.4104,6.3745,-0.083
Species,Carya glabra,1,23.9,e(B0 + (ln(DBH) * B1)),2.6764,0.5947,
Species,Carya illinoinensis,1.5,35,e(B0 + (ln(DBH) * B1)),2.7997,0.4137,
Species,Carya ovata,1,25.2,e(B0 + (ln(DBH) * B1)),2.6684,0.6181,
Species,Catalpa speciosa,1,35.5,e(B0 + (ln(DBH) * B1)),2.4414,0.5456,
Species,Celtis laevigata,1.3,25,e(B0 + (ln(DBH) * B1)),2.6831,0.4544,
Species,Celtis occidentalis,1,25.1,e(B0 + (ln(DBH) * B1)),2.3792,0.6343,
Species,Cornus florida,1,17.6,e(B0 + (ln(DBH) * B1)),2.6208,0.3129,
Species,Eucalyptus globulus,2,101.6,e(B0 + (ln(DBH) * B1)),2.6534,0.5052,
Species,Fagus grandifolia,1,27,B0 + (DBH * B1) + (DBH2 * B2),8.68,5.9536,-0.1094
Species,Fraxinus americana,1,22,B0 + (DBH * B1) + (DBH2 * B2),9.0318,6.2878,-0.1428
Species,Fraxinus,1,40,e(B0 + (ln(DBH) * B1)),2.6417,0.5015,
,pennsylvanica,,,,,,
Species,Ilex opaca,1.4,16.5,B0 + (DBH * B1) + (DBH2 * B2),4.1301,3.8555,-0.1097
Species,Juglans nigra,1,33,e(B0 + (ln(DBH) * B1)),2.426,0.6078,
Species,Juniperus virginiana,1,23.4,e(B0 + (ln(DBH) * B1)),2.2621,0.5944,
Species,Lagerstroemia indica,1,10.2,e(B0 + (ln(DBH) * B1)),2.6184,0.1761,
Species,Liquidambar,1,23,B0 + (DBH * B1) + (DBH2 * B2),10.193,6.0733,-0.1317
,styraciflua,,,,,,
Species,Liriodendron tulipifera,1.3,52,B0 + (ln(DBH) * B1),4.2684,27.5937,
Species,Magnolia grandiflora,1,26,e(B0 + (ln(DBH) * B1)),2.5784,0.457,
Species,Malus pumila,1.2,22,e(B0 + (ln(DBH) * B1)),2.3415,0.3107,
Species,Morus alba,1,43.1,e(B0 + (ln(DBH) * B1)),2.4252,0.4958,
Species,Morus rubra,1,22.2,e(B0 + (ln(DBH) * B1)),2.4371,0.4384,
Species,Picea abies,2.5,27.1,B0 + (ln(DBH) * B1),-6.4857,22.4012,
Species,Picea glauca,1,19.7,e(B0 + (ln(DBH) * B1)),2.1318,0.6375,
Species,Picea pungens,1.5,21.7,e(B0 + (ln(DBH) * B1)),1.7763,0.7273,
Species,Pinus elliottii,5,25,B0 + (ln(DBH) * B1),-19.9031,37.2196,
Species,Pinus nigra,2.2,23,B0 + (DBH * B1) + (DBH2 * B2),7.7851,2.8191,-0.0616
Species,Pinus radiata,1.9,62.7,e(B0 + (ln(DBH) * B1)),2.1094,0.5924,
Species,Pinus strobus,1,37.2,B0 + (DBH * B1) + (DBH2 * B2),3.7779,3.9924,-0.0284
Species,Pinus taeda,1,23,B0 + (DBH * B1) + (DBH2 * B2),3.6528,6.7587,-0.15
Species,Pinus virginiana,1.1,19,e(B0 + (ln(DBH) * B1)),2.0008,0.7644,
Species,Platanus hybrida,1,45,e(B0 + (ln(DBH) * B1)),2.2615,0.5779,
Species,Platanus occidentalis,1,51.2,e(B0 + (ln(DBH) * B1)),2.6718,0.5512,
Species,Populus balsamifera,1,23.2,B0 + (ln(DBH) * B1),0.5398,23.3071,
Species,Populus deltoides,1,24,B0 + (DBH * B1) + (DBH2 * B2),5.0638,6.2902,-0.1315
Species,Populus tremuloides,1,15.8,B0 + (DBH * B1),6.7078,4.541,
Species,Prunus avium,1.1,33.4,e(B0 + (ln(DBH) * B1)),2.5504,0.3789,
Species,Prunus serotina,1,24,B0 + (DBH * B1) + (DBH2 * B2),6.447,5.5094,-0.1154
Species,Prunus virginiana,1.1,25.4,B0 + (ln(DBH) * B1),10.9243,9.0672,
