Class,Taxon,DBH-Min,DBH-Max,Model,B0,B1,B2
Genus,Ulmus,1,38,B0 + (DBH * B1) + (DBH2 * B2),5.66,1.9969,-0.0177
Genus,Viburnum,1,9.5,B0 + (DBH * B1),11.0379,0.189,
Species,Acer negundo,1,36,B0 + (DBH * B1) + (DBH2 * B2),5.854,1.9553,-0.0275
Species,Acer palmatum,1,23.2,B0 + (DBH * B1),6.61,1.7147,
Species,Acer platanoides,1,37.6,B0 + (DBH * B1) + (DBH2 * B2),5.8975,2.1666,-0.0274
Species,Acer pseudoplatanus,1,53.2,e(B0 + (ln(DBH) * B1)),1.9314,0.5685,
Species,Acer rubrum,1,33,B0 + (DBH * B1) + (DBH2 * B2),6.8474,2.1853,-0.0335
Species,Acer saccharinum,1,70.9,e(B0 + (ln(DBH) * B1)),1.9519,0.5629,
Species,Acer saccharum,1,32,B0 + (DBH * B1) + (DBH2 * B2),6.4681,2.2287,-0.0351
Species,Betula papyrifera,1,21.3,B0 + (DBH * B1) + (DBH2 * B2),5.064,1.2265,0.0395
Species,Betula pendula,1,30,e(B0 + (ln(DBH) * B1)),1.5123,0.571,
Species,Betula populifolia,1,12.2,e(B0 + (ln(DBH) * B1)),1.9078,0.5326,
Species,Carpinus caroliniana,1,10.4,B0 + (ln(DBH) * B1),9.0348,6.7159,
Species,Carya alba,1,38.5,e(B0 + (ln(DBH) * B1)),1.9301,0.5499,
Species,Carya cordiformis,1,33,e(B0 + (ln(DBH) * B1)),1.946,0.5517,
Species,Carya glabra,1,23.9,e(B0 + (ln(DBH) * B1)),2.0043,0.4994,
Species,Carya illinoinensis,1.5,35,e(B0 + (ln(DBH) * B1)),1.7231,0.6653,
Species,Carya ovata,1,25.2,B0 + (DBH * B1),6.7211,1.6122,
Species,Catalpa speciosa,1,35.5,e(B0 + (ln(DBH) * B1)),2.0308,0.5362,
Species,Celtis laevigata,1.3,25,e(B0 + (ln(DBH) * B1)),1.7738,0.6299,
Species,Celtis occidentalis,1,25.1,B0 + (DBH * B1) + (DBH2 * B2),5.0384,2.3903,-0.0527
Species,Cornus florida,1,17.6,e(B0 + (ln(DBH) * B1)),2.1047,0.4727,
Species,Eucalyptus globulus,2,101.6,e(B0 + (ln(DBH) * B1)),-0.0593,1.233,
Species,Fagus grandifolia,1,36,B0 + (DBH * B1) + (DBH2 * B2),7.8252,2.4359,-0.0335
Species,Fraxinus americana,1,38,B0 + (DBH * B1) + (DBH2 * B2),4.8708,2.221,-0.0295
Species,Fraxinus pennsylvanica,1,40,e(B0 + (ln(DBH) * B1)),1.759,0.6078,
Species,Ilex opaca,1.4,16.5,e(B0 + (ln(DBH) * B1)),1.7641,0.4682,
Species,Juglans nigra,1,33,e(B0 + (ln(DBH) * B1)),1.8653,0.5878,
Species,Juniperus virginiana,1,23.4,B0 + (DBH * B1),3.6967,1.2866,
Species,Lagerstroemia indica,1,10.2,e(B0 + (ln(DBH) * B1)),1.9526,0.3644,
Species,Liquidambar styraciflua,1,40,B0 + (DBH * B1) + (DBH2 * B2),5.0207,1.5969,-0.0074
Species,Liriodendron tulipifera,1.3,52,B0 + (DBH * B1) + (DBH2 * B2),5.6119,1.9934,-0.0186
Species,Magnolia grandiflora,1,26,e(B0 + (ln(DBH) * B1)),1.9737,0.4751,
Species,Malus pumila,1.2,22,e(B0 + (ln(DBH) * B1)),2.2312,0.3735,
Species,Morus alba,1,43.1,B0 + (ln(DBH) * B1),5.5645,7.96,
Species,Morus rubra,1,22.2,e(B0 + (ln(DBH) * B1)),2.0067,0.5491,
Species,Picea abies,2.5,27.1,B0 + (DBH * B1),5.0275,1.3419,
Species,Picea glauca,1,19.7,e(B0 + (ln(DBH) * B1)),1.3573,0.5622,
Species,Picea pungens,1.5,21.7,B0 + (DBH * B1) + (DBH2 * B2),3.1772,1.3664,-0.0162
Species,Pinus elliottii,5,25,e(B0 + (ln(DBH) * B1)),1.2235,0.7611,
Species,Pinus nigra,2.2,24,B0 + (DBH * B1) + (DBH2 * B2),5.6682,1.6952,-0.036
Species,Pinus radiata,1.9,62.7,e(B0 + (ln(DBH) * B1)),1.4297,0.5938,
Species,Pinus strobus,1,37.2,B0 + (DBH * B1) + (DBH2 * B2),3.3445,1.5814,-0.0142
Species,Pinus taeda,1,34,e(B0 + (ln(DBH) * B1)),1.1535,0.7313,
Species,Pinus virginiana,1.1,19,e(B0 + (ln(DBH) * B1)),1.5891,0.6557,
Species,Platanus hybrida,1,45,B0 + (DBH * B1) + (DBH2 * B2),3.9088,2.6747,-0.0329
Species,Platanus occidentalis,1,51.2,e(B0 + (ln(DBH) * B1)),1.9074,0.5682,
Species,Populus balsamifera,1,23.2,B0 + (DBH * B1),4.1386,1.1984,
Species,Populus deltoides,1,41.8,B0 + (DBH * B1),4.3047,1.6294,
Species,Populus tremuloides,1,9,B0 + (DBH * B1) + (DBH2 * B2),1.2786,2.3693,-0.1346
Species,Prunus avium,1.1,33.4,e(B0 + (ln(DBH) * B1)),1.9615,0.5056,
Species,Prunus serotina,1,28,B0 + (DBH * B1) + (DBH2 * B2),6.1133,2.0116,-0.0355
Species,Prunus virginiana,1.1,25.4,e(B0 + (ln(DBH) * B1)),1.7052,0.5541,
Species,Pyrus calleryana,1.1,15.6,B0 + (DBH * B1),3.3114,1.7738,
Species,Quercus alba,1,51.6,B0 + (DBH * B1) + (DBH2 * B2),5.5617,1.8924,-0.0109
Species,Quercus falcata,1,37,B0 + (DBH * B1) + (DBH2 * B2),3.2783,2.3124,-0.0246
Species,Quercus nigra,1,42,B0 + (DBH * B1) + (DBH2 * B2),4.1202,2.269,-0.0263
